id;ano_lançamento;titulo_obra;genero;pais_produtor_obra;nacionalidade_obra;data_lançamento;distribuidora;publico_acumulado;avaliacao
1200;2015;Expresso do amanhã;Ficção;Estados Unidos;Estrangeiros;27/08/2015;Playarte;76665;
1201;2015;Risco Imediato;Ficção;Estados Unidos;Estrangeiros;09/04/2015;Califórnia;76618;
1202;2009;Hanami - Cerejeiras em Flor;Ficção;Alemanha;Estrangeiros;25/12/2009;Filmes da Mostra;76469;
1203;2014;November Man - Um Espião Nunca Morre;Ficção;Estados Unidos;Estrangeiros;06/11/2014;Playarte;76221;
1204;2009;O Casamento de Rachel;Ficção;Estados Unidos;Estrangeiros;13/02/2009;Sony;76120;
1205;2015;Corrente do mal;Ficção;Estados Unidos;Estrangeiros;27/08/2015;Califórnia;75470;
1206;2012;No;Ficção;Chile, Estados Unidos;Estrangeiros;28/12/2012;Imovision;75152;
1207;2015;Cássia Eller;Documentário;Brasil;Brasileiros;29/01/2015;H2O Films;75133;
1208;2009;Pacto Secreto;Ficção;Estados Unidos;Estrangeiros;25/09/2009;Paris;74989;
1209;2012;A Música segundo Tom Jobim;Documentário;Brasil;Brasileiros;20/01/2012;Sony;74901;
1210;2011;Bahêa minha vida;Documentário;Brasil;Brasileiros;30/09/2011;Paris;74857;
1211;2015;Minúsculos - O Filme;Animação;França, Bélgica;Estrangeiros;22/01/2015;Paris;74745;
1212;2013;O Mestre;Ficção;Estados Unidos;Estrangeiros;25/01/2013;Paris;74640;
1213;2012;Diário de um Jornalista Bêbado;Ficção;Estados Unidos;Estrangeiros;20/04/2012;Vinny filmes;74257;
1214;2016;A Última Premonição;Ficção;Estados Unidos;Estrangeiros;14/07/2016;Playarte;74108;
1215;2011;Burlesque;Ficção;Estados Unidos;Estrangeiros;11/02/2011;Sony;73927;
1216;2009;Anticristo;Ficção;Alemanha, Dinamarca, França, Itália, Polônia;Estrangeiros;28/08/2009;Califórnia;73465;
1217;2009;O Golfinho - A História de um Sonhador;Animação;Peru;Estrangeiros;09/10/2009;Fox;73442;
1218;2013;Trem Noturno para Lisboa;Ficção;Alemanha, Portugal, Suíça;Estrangeiros;29/11/2013;Europa;72783;
1219;2013;O Mordomo da Casa Branca;Ficção;Estados Unidos;Estrangeiros;01/11/2013;Diamond Films do Brasil;72304;
1220;2016;13 Horas: Os soldados Secretos de Benghazi;Ficção;Estados Unidos;Estrangeiros;18/02/2016;Paramount;72230;
1221;2009;A Pedra Mágica;Ficção;Estados Unidos;Estrangeiros;28/08/2009;Warner;71915;
1222;2015;Enquanto Somos Jovens;Ficção;Estados Unidos;Estrangeiros;18/06/2015;Alphaville Filmes;71859;
1223;2011;Assalto em dose dupla;Ficção;Estados Unidos;Estrangeiros;25/11/2011;Califórnia;71546;
1224;2010;O concerto;Ficção;França, Rússia;Estrangeiros;24/12/2010;Paris;71465;
1225;2013;O Amante da Rainha;Ficção;Dinamarca;Estrangeiros;08/02/2013;Vinny filmes;71464;
1226;2012;As vantagens de ser invisível;Ficção;Estados Unidos;Estrangeiros;19/10/2012;Paris;71282;
1227;2011;A inquilina;Ficção;Estados Unidos, Reino Unido;Estrangeiros;22/07/2011;Paris;71208;
1228;2013;Um bom partido;Ficção;Estados Unidos;Estrangeiros;26/04/2013;Imagem;71182;
1229;2009;Simonal - Ninguém Sabe o Duro que Dei;Documentário;Brasil;Brasileiros;15/05/2009;Moviemobz/RioFilme;71056;
1230;2012;Tropicália;Documentário;Brasil;Brasileiros;14/09/2012;Imagem;70995;
1231;2014;Entre Nós;Ficção;Brasil;Brasileiros;27/03/2014;Downtown/Paris;70751;
1232;2011;Todo mundo tem problemas sexuais;Ficção;Brasil;Brasileiros;13/05/2011;Filmes do Estação;70673;
1233;2017;Silêncio;Ficção;México, Estados Unidos;Estrangeiros;09/03/2017;Imagem;70623;
1234;2013;Meu pé de laranja-lima;Ficção;Brasil;Brasileiros;19/04/2013;Imovision;70459;
1235;2017;Missão cegonha;Animação;Alemanha, Bélgica, Estados Unidos, Luxemburgo, Noruega;Estrangeiros;26/10/2017;Playarte;70119;
1236;2016;Muleque Té Doido 2: A Lenda de Dom Sebastião;Ficção;Brasil;Brasileiros;10/11/2016;Rafaela Gonçalves;69753;
1237;2012;A Dançarina e o Ladrão;Ficção;Espanha;Estrangeiros;30/03/2012;Paris;69708;
1238;2016;A escolha;Ficção;Estados Unidos;Estrangeiros;04/02/2016;Paris;69074;
1239;2014;Tudo por um Furo;Ficção;Estados Unidos;Estrangeiros;28/02/2014;Paramount;68971;
1240;2015;Terra de Maria;Documentário;Espanha;Estrangeiros;12/10/2015;Cinemark Brasil;68838;
1241;2011;A morte e vida de Charlie;Ficção;Estados Unidos;Estrangeiros;14/01/2011;Universal;67956;
1242;2011;Uma professora muito maluquinha;Ficção;Brasil;Brasileiros;07/10/2011;Downtown/RioFilme;67904;
1243;2015;O Natal dos Coopers;Ficção;Estados Unidos;Estrangeiros;03/12/2015;Paris;67662;
1244;2016;Conexão Escobar;Ficção;Estados Unidos;Estrangeiros;15/09/2016;Imagem;67469;
1245;2015;The Last Naruto: O Filme;Animação;Japão;Estrangeiros;28/05/2015;Playarte;67437;
1246;2016;Um Homem Entre Gigantes;Ficção;Austrália, Estados Unidos, Reino Unido;Estrangeiros;03/03/2016;Sony;67328;
1247;2015;Chatô - O Rei do Brasil;Ficção;Brasil;Brasileiros;19/11/2015;Milocos Entretenimento;67061;
1248;2012;Projeto dinossauro;Ficção;Reino Unido;Estrangeiros;07/09/2012;Playarte;67058;
1249;2013;Hitchcock;Ficção;Estados Unidos;Estrangeiros;01/03/2013;Fox;67016;
1250;2010;Avatar: Edição especial;Ficção;Estados Unidos;Estrangeiros;15/10/2010;Fox;66948;
1251;2010;JACKASS 3D;Ficção;Estados Unidos;Estrangeiros;12/11/2010;Paramount;66932;
1252;2012;Anderson Silva: Como Água;Documentário;Estados Unidos;Estrangeiros;16/03/2012;Califórnia;66741;
1253;2015;O Exótico Hotel Marigold 2;Ficção;Estados Unidos, Reino Unido;Estrangeiros;07/05/2015;Fox;66487;
