id;ano_lançamento;titulo_obra;genero;pais_produtor_obra;nacionalidade_obra;data_lançamento;distribuidora;publico_acumulado;avaliacao
1;2010;Tropa de elite 2;Ficção;Brasil;Brasileiros;08/10/2010;Zazen;11146723;
2;2012;Os Vingadores - The Avengers;Ficção;Estados Unidos;Estrangeiros;27/04/2012;Disney;10911371;
3;2015;Vingadores: A Era de Ultron;Ficção;Estados Unidos;Estrangeiros;23/04/2015;Disney;10129071;
4;2015;Velozes e Furiosos 7;Ficção;Estados Unidos;Estrangeiros;02/04/2015;Universal;9857968;
5;2016;Capitão América: Guerra civil;Ficção;Estados Unidos;Estrangeiros;28/04/2016;Disney;9617668;
6;2012;A saga Crepúsculo: Amanhecer – Parte 2 O final ;Ficção;Estados Unidos;Estrangeiros;15/11/2012;Paris;9596296;
7;2009;A Era do Gelo 3;Animação;Estados Unidos;Estrangeiros;03/07/2009;Fox;9281202;
8;2016;Minha mãe é uma peça 2;Ficção;Brasil;Brasileiros;22/12/2016;Downtown/Paris;9234363;
9;2009;Avatar;Ficção;Estados Unidos;Estrangeiros;18/12/2009;Fox;9111628;
10;2017;Meu Malvado Favorito 3;Animação;Estados Unidos;Estrangeiros;29/06/2017;Universal;8989024;
11;2015;Minions;Animação;Estados Unidos;Estrangeiros;25/06/2015;Universal;8912154;
12;2012;A Era do Gelo 4;Animação;Estados Unidos;Estrangeiros;29/06/2012;Fox;8729837;
13;2016;Batman vs Superman: A Origem da Justiça;Ficção;Estados Unidos;Estrangeiros;24/03/2016;Warner;8565380;
14;2017;Velozes e Furiosos 8;Ficção;Estados Unidos;Estrangeiros;13/04/2017;Universal;8505215;
15;2017;Liga da Justiça;Ficção;Estados Unidos;Estrangeiros;15/11/2017;Warner;8442364;
16;2017;A Bela e a Fera (2017);Ficção;Estados Unidos;Estrangeiros;16/03/2017;Disney;8308489;
17;2016;Procurando Dory;Animação;Estados Unidos;Estrangeiros;30/06/2016;Disney;8189656;
18;2016;Esquadrão Suicida;Ficção;Estados Unidos;Estrangeiros;04/08/2016;Warner;7828012;
19;2013;Homem de ferro 3;Ficção;China, Estados Unidos;Estrangeiros;26/04/2013;Disney;7633751;
20;2010;Shrek para sempre;Animação;Estados Unidos;Estrangeiros;09/07/2010;Paramount;7368374;
21;2011;A saga crepúsculo: amanhecer - parte 2;Ficção;Estados Unidos;Estrangeiros;18/11/2011;Paris;7159227;
22;2017;Mulher-Maravilha;Ficção;Estados Unidos;Estrangeiros;01/06/2017;Warner;7011338;
23;2013;Meu malvado favorito 2;Animação;Estados Unidos;Estrangeiros;05/07/2013;Universal;6997328;
24;2015;Star Wars: Episódio VII - O despertar da Força;Ficção;Estados Unidos;Estrangeiros;17/12/2015;Disney;6725851;
25;2017;Homem-Aranha: De Volta ao Lar;Ficção;Estados Unidos;Estrangeiros;06/07/2017;Sony;6686736;
26;2015;Cinquenta Tons de Cinza;Ficção;Estados Unidos;Estrangeiros;12/02/2015;Universal;6685086;
27;2017;Logan;Ficção;Estados Unidos;Estrangeiros;02/03/2017;Fox;6400985;
28;2017;Thor: Ragnarok;Ficção;Estados Unidos;Estrangeiros;26/10/2017;Disney;6359663;
29;2015;Jurassic World: O mundo dos dinossauros;Ficção;Estados Unidos;Estrangeiros;11/06/2015;Universal;6356830;
30;2010;A Saga Crepúsculo: eclipse;Ficção;Estados Unidos;Estrangeiros;30/07/2010;Paris;6180071;
31;2014;A Culpa é das Estrelas;Ficção;Estados Unidos;Estrangeiros;05/06/2014;Fox;6165793;
32;2011;Rio;Animação;Estados Unidos;Estrangeiros;08/04/2011;Fox;6065545;
33;2016;Deadpool;Ficção;Canadá, Estados Unidos;Estrangeiros;11/02/2016;Fox;6044324;
34;2009;Lua Nova;Ficção;Estados Unidos;Estrangeiros;20/11/2009;Paris;5965054;
35;2009;Se Eu Fosse Você 2;Ficção;Brasil;Brasileiros;02/01/2009;Fox;5787244;
36;2014;Malévola;Ficção;Estados Unidos;Estrangeiros;29/05/2014;Disney;5756491;
37;2011;Harry Potter e as relíquias da morte – Parte 2;Ficção;Estados Unidos;Estrangeiros;15/07/2011;Warner;5578408;
38;2009;2012;Ficção;Estados Unidos;Estrangeiros;13/11/2009;Sony;5279983;
39;2012;Madagascar 3: Os Procurados;Animação;Estados Unidos;Estrangeiros;08/06/2012;Paramount;5269118;
40;2016;A Era do Gelo: O Big Bang;Animação;Estados Unidos;Estrangeiros;07/07/2016;Fox;5260867;
41;2014;Rio 2;Animação;Estados Unidos;Estrangeiros;27/03/2014;Fox;5213978;
42;2012;Alvin e os Esquilos 3;Animação;Estados Unidos;Estrangeiros;06/01/2012;Fox;5189001;
43;2010;Alvin e os Esquilos 2;Animação;Estados Unidos;Estrangeiros;08/01/2010;Fox;5155971;
44;2017;Moana - Um Mar de Aventuras;Animação;Estados Unidos;Estrangeiros;05/01/2017;Disney;5147838;
45;2012;Batman: O cavaleiro das Trevas Ressurge;Ficção;Estados Unidos;Estrangeiros;27/07/2012;Warner;5146519;
46;2012;O Espetacular Homem-Aranha;Ficção;Estados Unidos;Estrangeiros;06/07/2012;Sony;5145603;
47;2017;A Cabana;Ficção;Estados Unidos;Estrangeiros;06/04/2017;Paris;5117598;
48;2011;Os smurfs;Animação;Estados Unidos;Estrangeiros;05/08/2011;Sony;5097245;
49;2014;X-Men: Dias de um Futuro Esquecido;Ficção;Estados Unidos;Estrangeiros;22/05/2014;Fox;4923664;
50;2014;Noé;Ficção;Estados Unidos;Estrangeiros;03/04/2014;Paramount;4887284;
51;2012;De pernas pro ar 2;Ficção;Brasil;Brasileiros;28/12/2012;Downtown/Paris/RioFilme;4846273;
52;2013;Thor 2 - O Mundo Sombrio;Ficção;Estados Unidos;Estrangeiros;01/11/2013;Disney;4835087;
53;2014;Jogos Vorazes: A Esperança - Parte 1;Ficção;Estados Unidos;Estrangeiros;20/11/2014;Paris;4799018;
54;2016;Doutor Estranho;Ficção;Estados Unidos;Estrangeiros;03/11/2016;Disney;4797756;
55;2017;Cinquenta Tons Mais Escuros;Ficção;Estados Unidos;Estrangeiros;09/02/2017;Universal;4628437;
56;2014;Capitão América 2: O soldado invernal;Ficção;Estados Unidos;Estrangeiros;10/04/2014;Disney;4621130;
57;2014;Como Treinar seu Dragão 2;Animação;Estados Unidos;Estrangeiros;19/06/2014;Fox;4612474;
58;2013;Minha mãe é uma peça;Ficção;Brasil;Brasileiros;21/06/2013;Downtown/Paris;4600145;
59;2014;Transformers: A Era da Extinção;Ficção;China, Estados Unidos;Estrangeiros;17/07/2014;Paramount;4587331;
60;2010;Harry Potter e as relíquias da morte - Parte 1;Ficção;Estados Unidos;Estrangeiros;19/11/2010;Warner;4582365;
61;2009;Harry Potter e o Enigma do Príncipe;Ficção;Estados Unidos, Reino Unido;Estrangeiros;15/07/2009;Warner;4530746;
62;2013;Velozes e furiosos 6;Ficção;Estados Unidos;Estrangeiros;24/05/2013;Universal;4521941;
63;2011;Gato de botas;Animação;Estados Unidos;Estrangeiros;09/12/2011;Paramount;4492365;
64;2011;Piratas do Caribe: navegando em águas misteriosas;Ficção;Estados Unidos;Estrangeiros;20/05/2011;Disney;4445040;
65;2015;Jogos Vorazes: A esperança - O final;Ficção;Estados Unidos;Estrangeiros;19/11/2015;Paris;4417940;
66;2016;Pets - A vida secreta dos bichos;Animação;Estados Unidos;Estrangeiros;25/08/2016;Universal;4415952;
67;2017;It: A coisa;Ficção;Estados Unidos;Estrangeiros;07/09/2017;Warner;4414235;
68;2016;X-Men - Apocalipse;Ficção;Estados Unidos;Estrangeiros;19/05/2016;Fox;4374099;
69;2010;Toy Story 3;Animação;Estados Unidos;Estrangeiros;18/06/2010;Sony;4353562;
70;2010;Alice no País das Maravilhas;Ficção;Estados Unidos;Estrangeiros;23/04/2010;Sony;4344901;
71;2016;Animais fantásticos e onde habitam;Ficção;Estados Unidos, Reino Unido;Estrangeiros;17/11/2016;Warner;4344507;
72;2016;Como eu era antes de você;Ficção;Estados Unidos;Estrangeiros;16/06/2016;Warner;4272555;
73;2014;Frozen: uma Aventura Congelante;Animação;Estados Unidos;Estrangeiros;03/01/2014;Disney;4260040;
74;2017;Guardiões da Galáxia Vol. 2;Ficção;Estados Unidos;Estrangeiros;27/04/2017;Disney;4207641;
75;2015;Cinderela;Ficção;Estados Unidos;Estrangeiros;26/03/2015;Disney;4200606;
76;2017;Extraordinário;Ficção;Estados Unidos;Estrangeiros;07/12/2017;Paris;4183535;
77;2014;Êxodo: Deuses e Reis;Ficção;Espanha, Estados Unidos, Reino Unido;Estrangeiros;25/12/2014;Fox;4151658;
78;2014;Planeta dos Macacos: O Confronto;Ficção;Estados Unidos;Estrangeiros;24/07/2014;Fox;4104086;
79;2014;O Espetacular Homem Aranha 2;Ficção;Estados Unidos;Estrangeiros;01/05/2014;Sony;4100615;
80;2010;Nosso lar;Ficção;Brasil;Brasileiros;03/09/2010;Fox;4060304;
81;2013;Até que a Sorte nos Separe 2;Ficção;Brasil;Brasileiros;27/12/2013;Downtown/Paris;3978191;
82;2013;Wolverine Imortal;Ficção;Estados Unidos;Estrangeiros;26/07/2013;Fox;3955564;
83;2011;Enrolados;Animação;Estados Unidos;Estrangeiros;07/01/2011;Sony;3943495;
84;2015;Divertida Mente;Animação;Estados Unidos;Estrangeiros;18/06/2015;Disney;3783700;
85;2015;Loucas pra Casar;Ficção;Brasil;Brasileiros;08/01/2015;Downtown/Paris;3726547;
86;2015;Bob Esponja: Um Herói Fora d'água;Animação;Estados Unidos;Estrangeiros;05/02/2015;Paramount;3719487;
87;2014;Annabelle;Ficção;Estados Unidos;Estrangeiros;09/10/2014;Warner;3719297;
88;2013;João e Maria: Caçadores de Bruxas;Ficção;Alemanha, Estados Unidos;Estrangeiros;25/01/2013;Paramount;3716154;
89;2017;Piratas do Caribe – A Vingança de Salazar;Ficção;Estados Unidos;Estrangeiros;25/05/2017;Disney;3659613;
90;2013;Detona Ralph;Animação;Estados Unidos;Estrangeiros;04/01/2013;Disney;3639928;
91;2014;O Hobbit: A Batalha dos Cinco Exércitos;Ficção;Estados Unidos;Estrangeiros;11/12/2014;Warner;3614094;
92;2011;Velozes e furiosos 5;Ficção;Estados Unidos;Estrangeiros;06/05/2011;Universal;3612670;
93;2016;O bom dinossauro;Animação;Estados Unidos;Estrangeiros;07/01/2016;Disney;3597713;
94;2016;Invocação do Mal 2;Ficção;Estados Unidos;Estrangeiros;09/06/2016;Warner;3594171;
95;2013;Jogos Vorazes: em Chamas;Ficção;Estados Unidos;Estrangeiros;15/11/2013;Paris;3552801;
96;2011;De pernas pro ar;Ficção;Brasil;Brasileiros;31/12/2010;Downtown/Paris;3506552;
97;2012;Valente;Animação;Estados Unidos;Estrangeiros;20/07/2012;Disney;3464618;
98;2012;Até que a Sorte nos Separe;Ficção;Brasil;Brasileiros;05/10/2012;Downtown/Paris/RioFilme;3417510;
99;2011;Carros 2;Animação;Estados Unidos;Estrangeiros;23/06/2011;Disney;3416484;
100;2015;Alvin e os esquilos: Na estrada;Animação;Estados Unidos;Estrangeiros;24/12/2015;Fox;3415118;
101;2010;Chico Xavier;Ficção;Brasil;Brasileiros;02/04/2010;Sony/Downtown;3413231;
102;2014;As Tartarugas Ninja;Ficção;Estados Unidos;Estrangeiros;14/08/2014;Paramount;3366952;
103;2015;Até que a sorte nos separe 3;Ficção;Brasil;Brasileiros;24/12/2015;Downtown/Paris;3335667;
104;2015;Vai que Cola - O Filme;Ficção;Brasil;Brasileiros;01/10/2015;H2O Films;3307837;
105;2013;Universidade Monstros;Animação;Estados Unidos;Estrangeiros;21/06/2013;Disney;3292806;
106;2015;Hotel Transilvânia 2;Animação;Estados Unidos;Estrangeiros;24/09/2015;Sony;3275419;
107;2017;O Poderoso Chefinho;Animação;Estados Unidos;Estrangeiros;30/03/2017;Fox;3228749;
108;2010;O homem de ferro 2;Ficção;Estados Unidos;Estrangeiros;30/04/2010;Paramount;3227105;
109;2013;Se beber, não case! Parte 3;Ficção;Estados Unidos;Estrangeiros;30/05/2013;Warner;3214071;
110;2009;X-Men Origens: Wolverine;Ficção;Estados Unidos;Estrangeiros;01/05/2009;Fox;3199434;
111;2012;Os mercenários 2;Ficção;Estados Unidos;Estrangeiros;31/08/2012;Imagem;3166183;
112;2017;Star Wars: Os últimos jedi;Ficção;Estados Unidos;Estrangeiros;14/12/2017;Disney;3155131;
113;2013;Meu Passado me Condena;Ficção;Brasil;Brasileiros;25/10/2013;Downtown/Paris;3140771;
114;2011;Transformers: o lado oculto da lua;Ficção;Estados Unidos;Estrangeiros;02/07/2011;Paramount;3134578;
115;2015;Os Pinguins de Madagascar;Animação;Estados Unidos;Estrangeiros;15/01/2015;Fox;3133464;
116;2014;Debi e Lóide 2;Ficção;Estados Unidos;Estrangeiros;13/11/2014;Imagem;3071422;
117;2009;Anjos e Demônios;Ficção;Estados Unidos;Estrangeiros;15/05/2009;Sony;3059245;
118;2017;A Múmia;Ficção;Estados Unidos;Estrangeiros;08/06/2017;Universal;3052636;
119;2011;Kung Fu Panda 2;Animação;Estados Unidos;Estrangeiros;10/06/2011;Paramount;3033896;
120;2013;O hobbit: a Desolação de Smaug;Ficção;Estados Unidos, Nova Zelândia;Estrangeiros;13/12/2013;Warner;3017521;
121;2011;Cilada.com;Ficção;Brasil;Brasileiros;08/07/2011;Downtown/Paris/RioFilme;2959460;
122;2017;Annabelle 2: A criação do mal;Ficção;Estados Unidos;Estrangeiros;17/08/2017;Warner;2957275;
123;2013;Os Smurfs 2;Ficção;Estados Unidos;Estrangeiros;02/08/2013;Sony;2946527;
124;2015;Homem-Formiga;Ficção;Estados Unidos;Estrangeiros;16/07/2015;Disney;2927606;
125;2014;Guardiões da Galáxia;Ficção;Estados Unidos, Reino Unido;Estrangeiros;31/07/2014;Disney;2864866;
126;2016;Rogue One: Uma História Star Wars;Ficção;Estados Unidos;Estrangeiros;15/12/2016;Disney;2860307;
127;2017;Transformers: O último cavaleiro;Ficção;Estados Unidos;Estrangeiros;20/07/2017;Paramount;2858033;
128;2011;Capitão América: o primeiro vingador;Ficção;Estados Unidos;Estrangeiros;29/07/2011;Paramount;2841148;
129;2011;Se beber, não case! 2;Ficção;Estados Unidos;Estrangeiros;27/05/2011;Warner;2841000;
130;2014;300: A Ascenção do Império;Ficção;Estados Unidos;Estrangeiros;07/03/2014;Warner;2839023;
131;2012;O Hobbit: Uma jornada inesperada;Ficção;Estados Unidos, Nova Zelândia;Estrangeiros;14/12/2012;Warner;2832315;
132;2016;Zootopia: Essa Cidade é o Bicho;Animação;Estados Unidos;Estrangeiros;17/03/2016;Disney;2824460;
133;2015;A Série Divergente - Insurgente;Ficção;Estados Unidos;Estrangeiros;19/03/2015;Paris;2819819;
134;2014;Robocop;Ficção;Estados Unidos;Estrangeiros;21/02/2014;Sony;2816772;
135;2013;Os Croods;Animação;Estados Unidos;Estrangeiros;22/03/2013;Fox;2789158;
136;2013;O homem de aço;Ficção;Estados Unidos;Estrangeiros;12/07/2013;Warner;2756522;
137;2013;Vai que dá certo;Ficção;Brasil;Brasileiros;22/03/2013;Imagem;2729340;
138;2010;As crônicas de Nárnia: a viagem do Peregrino da Alvorada;Ficção;Estados Unidos;Estrangeiros;10/12/2010;Fox;2722970;
139;2014;Operação Big Hero;Animação;Estados Unidos;Estrangeiros;25/12/2014;Disney;2718567;
140;2015;Missão impossível - Nação secreta;Ficção;Estados Unidos;Estrangeiros;13/08/2015;Paramount;2711570;
141;2014;Drácula: A História Nunca Contada;Ficção;Estados Unidos;Estrangeiros;23/10/2014;Universal;2710137;
142;2015;Uma Noite no Museu 3: O Segredo da Tumba;Ficção;Estados Unidos, Reino Unido;Estrangeiros;01/01/2015;Fox;2707296;
143;2016;Sing - Quem canta seus males espanta;Animação;Estados Unidos;Estrangeiros;22/12/2016;Universal;2701824;
144;2017;Planeta dos macacos: A guerra;Ficção;Estados Unidos;Estrangeiros;03/08/2017;Fox;2694893;
145;2011;X-Men: first class;Ficção;Estados Unidos;Estrangeiros;04/06/2011;Fox;2692328;
146;2016;Mogli - O Menino Lobo;Ficção;Estados Unidos;Estrangeiros;14/04/2016;Disney;2670252;
147;2015;O Último Caçador de Bruxas;Ficção;Estados Unidos;Estrangeiros;29/10/2015;Paris;2661876;
148;2012;Homens de Preto 3;Ficção;Estados Unidos;Estrangeiros;25/05/2012;Sony;2649531;
149;2016;O Regresso;Ficção;Estados Unidos;Estrangeiros;04/02/2016;Fox;2645471;
150;2015;Meu Passado Me Condena 2;Ficção;Brasil;Brasileiros;02/07/2015;Downtown/Paris;2639935;
151;2009;Uma Noite no Museu 2;Ficção;Estados Unidos;Estrangeiros;23/05/2009;Fox;2602771;
152;2013;Guerra mundial z;Ficção;Estados Unidos;Estrangeiros;28/06/2013;Paramount;2587204;
153;2011;Thor;Ficção;Estados Unidos;Estrangeiros;29/04/2011;Paramount;2581538;
154;2012;E Aí, Comeu?;Ficção;Brasil;Brasileiros;22/06/2012;Downtown/Paris/RioFilme;2578599;
155;2012;007 – Operação Skyfall;Ficção;Estados Unidos, Inglaterra;Estrangeiros;26/10/2012;Sony;2553352;
156;2012;Os Penetras;Ficção;Brasil;Brasileiros;30/11/2012;Warner;2548441;
157;2015;Carrossel, O Filme;Ficção;Brasil;Brasileiros;23/07/2015;Downtown/Paris;2537628;
158;2012;Hotel Transilvânia;Animação;Estados Unidos;Estrangeiros;05/10/2012;Sony;2530219;
159;2011;Missão: Impossível - Protocolo Fantasma;Ficção;Estados Unidos;Estrangeiros;21/12/2011;Paramount;2530077;
160;2016;Carrossel 2 - O Sumiço de Maria Joaquina;Ficção;Brasil;Brasileiros;14/07/2016;Downtown/Paris;2525328;
161;2017;Carros 3;Animação;Estados Unidos;Estrangeiros;13/07/2017;Disney;2524401;
162;2012;Branca de Neve e o Caçador;Ficção;Estados Unidos;Estrangeiros;01/06/2012;Universal;2518398;
163;2010;Fúria de titãs;Ficção;Estados Unidos;Estrangeiros;21/05/2010;Warner;2502709;
164;2011;O planeta dos macacos: a origem;Ficção;Estados Unidos;Estrangeiros;26/08/2011;Fox;2484531;
165;2012;Fúria de Titãs 2;Ficção;Estados Unidos;Estrangeiros;30/03/2012;Warner;2481259;
166;2013;Tá chovendo hambúrguer 2;Animação;Estados Unidos;Estrangeiros;04/10/2013;Sony;2480998;
167;2015;Exterminador do Futuro: Gênesis;Ficção;Estados Unidos;Estrangeiros;02/07/2015;Paramount;2475674;
168;2010;Sherlock Holmes;Ficção;Estados Unidos;Estrangeiros;08/01/2010;Warner;2472825;
169;2012;Sherlock Holmes: O Jogo das Sombras;Ficção;Estados Unidos;Estrangeiros;13/01/2012;Warner;2456934;
170;2014;Hércules;Ficção;Estados Unidos;Estrangeiros;04/09/2014;Paramount;2452143;
171;2010;Meu Malvado Favorito;Animação;Estados Unidos;Estrangeiros;06/08/2010;Universal;2425161;
172;2012;O Motoqueiro Fantasma 2;Ficção;Estados Unidos;Estrangeiros;17/02/2012;Imagem;2397189;
173;2015;Pixels;Ficção;Estados Unidos;Estrangeiros;23/07/2015;Sony;2355311;
174;2009;A Mulher Invisível;Ficção;Brasil;Brasileiros;05/06/2009;Warner;2353646;
175;2009;Velozes e Furiosos 4;Ficção;Estados Unidos;Estrangeiros;03/04/2009;Universal;2308197;
176;2016;A Lenda de Tarzan;Ficção;Estados Unidos;Estrangeiros;21/07/2016;Warner;2288390;
177;2016;Snoopy & Charlie Brown - Peanuts, o filme;Animação;Estados Unidos;Estrangeiros;14/01/2016;Fox;2278477;
178;2011;Imortais;Ficção;Estados Unidos;Estrangeiros;30/12/2011;Imagem;2239658;
179;2014;O Candidato Honesto;Ficção;Brasil;Brasileiros;02/10/2014;Downtown/Paris;2237776;
180;2015;Mad Max: Estrada da Fúria;Ficção;Estados Unidos;Estrangeiros;14/05/2015;Warner;2237587;
181;2012;As aventuras de Pi;Ficção;Estados Unidos;Estrangeiros;21/12/2012;Fox;2227413;
182;2016;Alice Através do Espelho;Ficção;Estados Unidos;Estrangeiros;26/05/2016;Disney;2226154;
183;2015;Terremoto: A Falha de San Andreas;Ficção;Estados Unidos;Estrangeiros;28/05/2015;Warner;2220110;
184;2009;Os Normais 2;Ficção;Brasil;Brasileiros;28/08/2009;Imagem;2202640;
185;2016;Inferno;Ficção;Estados Unidos;Estrangeiros;13/10/2016;Sony;2193152;
186;2016;O Lar das Crianças Peculiares;Ficção;Bélgica, Estados Unidos, Reino Unido;Estrangeiros;29/09/2016;Fox;2182599;
187;2011;Bruna Surfistinha;Ficção;Brasil;Brasileiros;25/02/2011;Imagem/RioFilme;2176999;
188;2012;A Origem dos Guardiões;Animação;Estados Unidos;Estrangeiros;30/11/2012;Paramount;2173218;
189;2009;Transformers: A Vingança dos Derrotados;Ficção;Estados Unidos;Estrangeiros;23/06/2009;Paramount;2149681;
190;2013;Percy Jackson e o Mar de Monstros;Ficção;Estados Unidos;Estrangeiros;16/08/2013;Fox;2147952;
191;2012;Cada um tem a gêmea que merece;Ficção;Estados Unidos;Estrangeiros;10/02/2012;Sony;2128174;
192;2011;Esposa de mentirinha;Ficção;Estados Unidos;Estrangeiros;04/03/2011;Sony;2113681;
193;2014;Os Mercenários 3;Ficção;Estados Unidos;Estrangeiros;21/08/2014;Califórnia;2108500;
194;2010;Karate Kid;Ficção;Estados Unidos;Estrangeiros;27/08/2010;Sony;2104863;
195;2015;007 Contra Spectre;Ficção;Estados Unidos, Reino Unido;Estrangeiros;05/11/2015;Sony;2101350;
196;2009;O Curioso Caso de Benjamin Button;Ficção;Estados Unidos;Estrangeiros;16/01/2009;Warner;2083246;
197;2011;Os pinguins do papai;Ficção;Estados Unidos;Estrangeiros;01/07/2011;Fox;2073526;
198;2017;Assassin's Creed;Ficção;França, Estados Unidos;Estrangeiros;12/01/2017;Fox;2058767;
199;2009;Up - Altas Aventuras;Animação;Estados Unidos;Estrangeiros;04/09/2009;Sony;2058574;
200;2010;Como treinar seu dragão;Animação;Estados Unidos;Estrangeiros;26/03/2010;Paramount;2044487;
201;2015;O Pequeno Príncipe;Animação;Estados Unidos;Estrangeiros;20/08/2015;Paris;2043533;
202;2016;A série Divergente: Convergente;Ficção;Estados Unidos;Estrangeiros;10/03/2016;Paris;2016949;
203;2010;Percy Jackson e o ladrão de raios;Ficção;Estados Unidos;Estrangeiros;12/02/2010;Fox;2005439;
204;2010;Príncipe da Pérsia: as areias do tempo;Ficção;Estados Unidos;Estrangeiros;04/06/2010;Sony;1989228;
205;2015;Maze Runner - Prova de Fogo;Ficção;Estados Unidos;Estrangeiros;17/09/2015;Fox;1986250;
206;2014;Juntos e Misturados;Ficção;Estados Unidos;Estrangeiros;17/07/2014;Warner;1979624;
207;2011;Assalto ao Banco Central;Ficção;Brasil;Brasileiros;22/07/2011;Fox;1966736;
208;2010;Megamente;Animação;Estados Unidos;Estrangeiros;03/12/2010;Paramount;1961790;
209;2016;Truque de Mestre: O Segundo Ato;Ficção;Estados Unidos;Estrangeiros;09/06/2016;Paris;1952009;
210;2012;Espelho, Espelho Meu;Ficção;Estados Unidos;Estrangeiros;06/04/2012;Imagem;1936376;
211;2012;Jogos Vorazes;Ficção;Estados Unidos;Estrangeiros;23/03/2012;Paris;1917140;
212;2013;Oz, mágico e poderoso;Ficção;Estados Unidos;Estrangeiros;08/03/2013;Disney;1914246;
213;2017;Kong - A Ilha da Caveira;Ficção;Estados Unidos;Estrangeiros;09/03/2017;Warner;1902480;
214;2014;Os Caras de Pau em o Misterioso Roubo do Anel;Ficção;Brasil;Brasileiros;25/12/2014;Imagem;1892337;
215;2016;Trolls;Animação;Estados Unidos;Estrangeiros;27/10/2016;Fox;1888204;
216;2015;Peter Pan;Ficção;Estados Unidos;Estrangeiros;08/10/2015;Warner;1873398;
217;2009;Divã;Ficção;Brasil;Brasileiros;17/04/2009;Downtown/RioFilme;1866403;
218;2010;Comer, rezar e amar;Ficção;Estados Unidos;Estrangeiros;01/10/2010;Sony;1852602;
219;2016;Angry Birds - O Filme;Animação;Estados Unidos, Finlândia;Estrangeiros;12/05/2016;Sony;1833793;
220;2016;Independence Day - O Ressurgimento;Ficção;Estados Unidos;Estrangeiros;23/06/2016;Fox;1829856;
221;2015;Perdido em Marte;Ficção;Estados Unidos;Estrangeiros;01/10/2015;Fox;1802671;
222;2011;O turista;Ficção;Estados Unidos;Estrangeiros;21/01/2011;Sony;1794210;
223;2014;Os Homens são de Marte... E é para lá que eu vou;Ficção;Brasil;Brasileiros;29/05/2014;Downtown/Paris;1793239;
224;2012;Ted;Ficção;Estados Unidos;Estrangeiros;21/09/2012;Universal;1784311;
225;2014;Lucy;Ficção;França;Estrangeiros;28/08/2014;Universal;1784275;
226;2015;Cada um na sua Casa;Animação;Estados Unidos;Estrangeiros;09/04/2015;Fox;1783872;
227;2010;A origem;Ficção;Estados Unidos, Reino Unido;Estrangeiros;06/08/2010;Warner;1780406;
228;2014;S. O. S. Mulheres ao Mar;Ficção;Brasil;Brasileiros;20/03/2014;Disney;1776579;
229;2015;Quarteto fantástico;Ficção;Estados Unidos;Estrangeiros;06/08/2015;Fox;1771829;
230;2009;Se beber, não case!;Ficção;Estados Unidos;Estrangeiros;21/08/2009;Warner;1764821;
231;2016;Kung Fu Panda 3;Animação;China, Estados Unidos;Estrangeiros;03/03/2016;Fox;1757761;
232;2013;Elysium;Ficção;Estados Unidos;Estrangeiros;20/09/2013;Sony;1742686;
233;2011;Gigantes de aço;Ficção;Estados Unidos;Estrangeiros;21/10/2011;Disney;1729539;
234;2016;A 5ª Onda;Ficção;Estados Unidos;Estrangeiros;21/01/2016;Sony;1729177;
235;2016;É fada!;Ficção;Brasil;Brasileiros;06/10/2016;Imagem;1722069;
236;2017;A Grande Muralha;Ficção;Estados Unidos;Estrangeiros;23/02/2017;Universal;1717008;
237;2013;Crô - O Filme;Ficção;Brasil;Brasileiros;29/11/2013;Downtown/Paris;1716774;
238;2013;Somos tão jovens;Ficção;Brasil;Brasileiros;03/05/2013;Imagem/Fox;1715763;
239;2017;Emoji - O filme;Animação;Estados Unidos;Estrangeiros;31/08/2017;Sony;1683814;
240;2010;Encontro explosivo;Ficção;Estados Unidos;Estrangeiros;16/07/2010;Fox;1683065;
241;2016;O Caçador e a Rainha do Gelo;Ficção;Estados Unidos;Estrangeiros;21/04/2016;Universal;1646209;
242;2015;S.O.S Mulheres ao mar 2;Ficção;Brasil;Brasileiros;22/10/2015;Universal/Europa/Elo Company;1638272;
243;2013;Invocação do mal;Ficção;Estados Unidos;Estrangeiros;13/09/2013;Warner;1617696;
244;2017;Pica-Pau;Animação;Estados Unidos;Estrangeiros;05/10/2017;Universal;1617414;
245;2015;Cidades de Papel;Ficção;Estados Unidos;Estrangeiros;09/07/2015;Fox;1602111;
246;2013;Gente grande 2;Ficção;Estados Unidos;Estrangeiros;16/08/2013;Sony;1577212;
247;2012;Resident Evil: Retribuição;Ficção;Estados Unidos;Estrangeiros;14/09/2012;Sony;1575479;
248;2010;O último mestre do ar;Ficção;Estados Unidos;Estrangeiros;20/08/2010;Paramount;1568702;
249;2014;Maze Runner - Correr ou Morrer;Ficção;Estados Unidos;Estrangeiros;18/09/2014;Fox;1564886;
250;2012;As Aventuras de Tintim: O Segredo do Licorne;Animação;Estados Unidos;Estrangeiros;20/01/2012;Sony;1547241;
251;2010;Robin Hood;Ficção;Estados Unidos;Estrangeiros;14/05/2010;Universal;1543953;
252;2013;Duro de matar: Um bom dia para morrer;Ficção;Estados Unidos;Estrangeiros;22/02/2013;Fox;1538081;
253;2012;American Pie: O Reencontro;Ficção;Estados Unidos;Estrangeiros;20/04/2012;Universal;1537946;
254;2017;O Chamado 3;Ficção;Estados Unidos;Estrangeiros;02/02/2017;Paramount;1535871;
